disease,symptoms
мастоидит,головная боль повышение температуры до 38с боль в ухе гнойные выделения из уха шум в ушах снижение слуха
мастопатия фибрознокистозная болезнь молочной железы,увеличение нагрубание молочной железы боль в молочной железе увеличение лимфоузлов в подмышечной впадине тяжесть в грудных железах выделения из соска уплотнения в груди
менингит,судороги а потеря сознания обморок бессонница головная боль рвота повышение тонуса мышц ригидность повышение температуры выше 39с галлюцинации светобоязнь звукобоязнь фонофобия бред
менингококковая инфекция,головная боль рвота озноб тошнота повышение температуры выше 39с сыпь
мерцательная аритмия,удушье потеря сознания обморок снижение артериального давления слабость головокружение учащение сердцебиения тахикардия боли в грудной клетке страх одышка неритмичное сердцебиение потемнение в глазах
миалгия,мышечная боль боль в мышцах
миастения,повышенная усталость слюнотечение мышечная слабость нарушение движения гнусавость двоение в глазах нарушение дыхания опущение века нарушение глотания изменение выражения лица нарушение жевания
мигрень,головная боль рвота тошнота головокружение раздражительность дезориентация приступообразная головная боль светобоязнь звукобоязнь фонофобия отвращение к запахам
микоплазмоз,бесплодие боль в паху боль во время мочеиспускания утрудненное мочеиспускание боль в яичке выделения из уретры жжение при мочеиспускании выделения слизистогнойного характера
миозит,головная боль слабость повышенное потоотделение повышение температуры до 38с боли в спине боль в шее боль в мышцах боль в мышцах рук боль в мышцах ног боль в мышцах спины
миокардит,снижение артериального давления повышение температуры до 38с учащение сердцебиения тахикардия боль за грудиной боли в грудной клетке одышка замедленное сердцебиение брадикардия неритмичное сердцебиение
миома матки,боль во время полового акта бесплодие боль в тазу частое мочеиспускание чувство неполного опорожнения мочевого пузыря недержание мочи обильные менструальные кровотечения
миометрит,головная боль слабость озноб боль внизу живота нерегулярный менструальный цикл маточные кровотечения повышение температуры до 38с снижение аппетита выделения слизистогнойного характера
миопатия,мышечная слабость искривление дуги позвоночника нарушение дыхания нарушение глотания атрофия мышц неспособность ходить
митральная недостаточность,повышенная усталость недомогание одышка ощущение сердцебиения ночная одышка
многоводие,повышение артериального давления боли в пояснице тяжесть внизу живота боли в промежности
молочница кандидоз,зуд гениталий раздражение в области гениталий выделения из влагалища бели боль во время полового акта жжение при мочеиспускании сыпь в области гениталий белый налет
мочекаменная болезнь,боль внизу живота боль в паху боли в пояснице частое мочеиспускание боль во время мочеиспускания мутность мочи моча с кровью жжение при мочеиспускании
мужское бесплодие,невозможность зачатия на протяжении года и более
муковисцидоз,бессонница рвота запор диарея вздутие живота кашель с мокротой одышка
мутизм,нарушение речи отсутствие спонтанной и ответной речи
нарколепсия,бессонница мышечная слабость галлюцинации сонливость кошмары внезапный сон спонтанное засыпание сонный паралич
нарушение семяизвержения,преждевременное семяизвержение задержка семяизвержения отсутствие семяизвержения
насморк ринит,зуд в носу насморк чиханье заложенность носа слезотечение ослабление обоняния нюха недомогание
неврастения,бессонница головная боль слабость плаксивость вспыльчивость повышенная усталость раздражительность повышенная возбудимость апатия рассеяность внимания
неврит зрительного нерва,мушки точки перед глазами ухудшение искажение цветового восприятия боль в глазах плавающие пятна перед глазами молниеносное снижение остроты зрения усиление симптомов после принятия ванны
неврит лицевого нерва,слезотечение нарушение чувствительности слюнотечение боль в ухе снижение слуха непроизвольные сокращения мышц ассиметрия лица
невропатия,мышечная слабость онемение нарушения координации одеревенение ног зуд в стопе жжение в стопе
недиабетическая гипогликемическая кома,бледность кожи судороги а потеря сознания обморок слабость повышение массы тела повышенное потоотделение учащение сердцебиения тахикардия онемение нарушение речи дезориентация тремор дрожание страх двоение в глазах голод
недостаточность витамина а,шелушение кожи ухудшение ночного сумеречного зрения сухость ломкость волос сухость глаз поперечная исчерченность ногтей снижение сумеречного зрения
недостаточность витамина в1,бессонница рвота тошнота боль вверху живота мышечная слабость онемение забывчивость рассеяность внимания боли в икрах сухость языка зябкость ослабление сухожильных рефлексов
недостаточность витамина в2 рибофлавина,шелушение кожи онемение яркокрасный цвет языка сухость языка заеды
недостаточность клапана легочной артерии,синюшность цианоз слабость вздутие живота боль в правом подреберье учащение сердцебиения тахикардия тяжесть в правом подреберье одышка отеки ног
недостаточность никотиновой кислоты пеллагра,диарея снижение интеллекта сыпь сухость языка
недостаточность трехстворчатого клапана,синюшность цианоз боль в правом подреберье отеки ног набухание шейных вен пульсация сонных артерий
нейроциркуляторная дистония,слабость отечность боль в области сердца
непроизвольное мочеиспускание,непроизвольное мочеиспускание недержание мочи
несахарный диабет,головная боль рвота снижение остроты зрения тошнота неутолимая жажда частое мочеиспускание
нетоксический зоб,увеличение щитовидной железы
низкорослость карликовость,отставание в росте
нистагм,тошнота головокружение нарушения координации
облитерирующий тромбангиит,бледность кожи жжение онемение перемежающаяся хромота боль при ходьбе боли в икрах покраснение синюшность пальцев кровоизлияния е
облысение алопеция,выпадение волос
обсессивнокомпульсивное расстройство,навязчивые мысли обессии навязчивые действия компульсии
ожирение,бессонница головная боль повышение артериального давления повышение массы тела нерегулярный менструальный цикл бесплодие боли в пояснице запор учащение сердцебиения тахикардия одышка боль в суставах нарушения эрекции повышение аппетита повышение уровня глюкозы в крови гипергликемия чрезмерный рост волос на теле гипертрихоз
окклюзии сосудов сетчатки,блики вспышки перед глазами молниеносное снижение остроты зрения
оофорит,боль внизу живота нерегулярный менструальный цикл выделения из влагалища бели боль во время полового акта повышение температуры до 38с боль во время мочеиспускания межменструальные кровотечения
описторхоз,зуд тошнота диарея снижение аппетита повышение температуры выше 39с боль в суставах
опоясывающий лишай,зуд повышение температуры до 3839с пузырчатая болезненная сыпь
орви,насморк чиханье головная боль слабость рвота повышение температуры до 38с боль в глазах сухой кашель боль в горле
орхит,озноб повышение температуры до 3839с боль в паху боли в пояснице боль в яичке боль в промежности увеличение яичка покраснение мошонки
остановка сердца,потеря сознания обморок синюшность цианоз расширенные зрачки не реагирующие на свет отсутствие пульса отсутствие дыхания
остеомиелит,потеря сознания обморок отечность озноб повышение температуры выше 39с недомогание боль в суставах покраснение
остеопороз,повышение тонуса мышц ригидность скованность движений искривление дуги позвоночника сутулость боль в позвоночнике уменьшение роста
остеохондроз,головная боль боли в пояснице боли в спине боль в шее онемение мышечные спазмы скованность движений шум мушки точки перед глазами цветные пятна перед глазами стреляющая боль в спине
острая постгеморрагическая анемия,потеря сознания обморок учащение сердцебиения тахикардия одышка уменьшение объема мочи
отек квинке,удушье отек гортани отек лица синюшность языка
отек мозга,потеря сознания обморок головная боль рвота тошнота головокружение дезориентация замедленная речь ступор провалы в памяти
отит,повышение температуры до 38с стреляющая боль в ухе боль в ухе гнойные выделения из уха заложенность уха шум в ушах
отморожения,бледность кожи синюшность цианоз нарушение чувствительности покраснение
оторея,гнойные выделения из уха выделения из уха
отравление алкоголем,слабость рвота тошнота повышенное потоотделение
отслойка и разрывы сетчатки,снижение остроты зрения мушки точки перед глазами блики вспышки перед глазами затуманивание зрения пелена перед глазами плавающие пятна перед глазами
паническое расстройство эпизодическая пароксизмальная тревожность,бледность кожи бессонница повышение артериального давления головокружение повышенное потоотделение учащение сердцебиения тахикардия холодные и влажные ладони паника боли в левой половине грудной клетки беспокойство
панкреатит,потеря сознания обморок зуд рвота тошнота боль вверху живота вздутие живота метеоризм желтушность опоясывающая боль в верхней части живота повышение тонуса мышц ригидность боль в левом подреберье полифекалия увеличение объема каловых масс
паралич,паралич
пародонтит,повышение температуры до 3839с кровоточивость десен кровоточивость десен покраснение десен неприятный запах изо рта выделение гноя изпод десны подвижность зубов подвижность зубов боль у основания зубов выпадение зубов
пародонтоз,зуд десен бледность десен обнажение шейки зуба
пароксизмальная тахикардия,потеря сознания обморок слабость тошнота головокружение учащение сердцебиения тахикардия частое мочеиспускание одышка беспокойство
паховая грыжа,рвота боль внизу живота тошнота боль в паху запор вздутие живота икота метеоризм боль в мошонке выпячивание опухоль
педикулез вши,зуд голубые пятна на коже расчесы гниды в волосах
пеленочный дерматит,сыпь красного цвета покраснение покраснение ягодиц мокнущая сыпь
перелом челюсти,двоение в глазах боль в челюсти перемена прикуса смещение челюсти в сторону
перикардит,отек лица слабость боль в области сердца икота боли в грудной клетке сухой кашель набухание шейных вен
периодонтит,повышение температуры до 3839с покраснение десен зубная боль подвижность зубов зубная боль привоздействии раздражителей острая зубная боль ноющая зубная боль
периостит,бессонница слабость снижение аппетита зубная боль увеличение лимфоузлов отечность и разрушение надкостницы
перитонит,бледность кожи снижение артериального давления рвота тошнота метеоризм повышение температуры выше 39с учащение сердцебиения тахикардия страх сухость разлитая боль в животе беспокойство сухость губ
печеночная недостаточность,потеря сознания обморок слабость тошнота отеки снижение массы тела вздутие живота снижение аппетита желтушность желтушность склер носовые кровотечения покраснение ладоней кровяная сыпь на коже геморрагии отвращение к пищи извращение вкуса истощение печеночный запах изо рта
пиелонефрит,слабость озноб повышенное потоотделение боли в пояснице повышение температуры выше 39с ломота в теле
пиодермия,сыпь
плоскостопие,быстрое утомление при ходьбе боль в стопе судороги в стопе отеки в щиколотках
пневмония,головная боль слабость озноб повышение температуры выше 39с боли в грудной клетке недомогание ломота в теле сухой кашель першение в горле кашель с мокротой одышка боль в горле
пневмоторакс,бледность кожи синюшность цианоз боли в грудной клетке страх сухой кашель одышка
подагра,отек сустава белые узелки на суставах багровокрасный цвет сустава приступообразная боль в суставе
подвывих сустава,боль в суставах покраснение сустава деформация сустава отек сустава ограничение подвижности сустава
полиартрит,боль в суставах деформация сустава отек сустава покраснение
полиартроз,скованность движений боль в суставах деформация сустава
полиневропатия,нарушение чувствительности мышечная слабость онемение нарушение движения атрофия мышц одеревенение ног зуд в стопе жжение в стопе
полип анального канала,кал с кровью кровотечение боль в области заднего прохода
полип женских половых органов,нерегулярный менструальный цикл маточные кровотечения бесплодие выделения мажущие межменструальные кровотечения обильные менструальные кровотечения
полип прямой кишки,кал с кровью кровотечение
поллиноз сенная лихорадка,бессонница зуд в носу насморк чиханье заложенность носа зуд в глазах слезотечение покраснение глаз головная боль ослабление обоняния нюха слабость
портальная гипертензия,тошнота боль в подложечной области метеоризм желтушность желтушность склер боль в правом подреберье потеря аппетита анорексия посинение вен живота черный стул примесь крови рвота с кровью расширение вен брюшной стенки
порфирия,повышение артериального давления кровяная сыпь на коже геморрагии пузырчатая болезненная сыпь пигментация
постинфарктный синдром,слабость боль в области сердца повышение температуры до 38с боли в грудной клетке одышка отеки ног
посттравматический стресс,повышенная возбудимость рассеяность внимания мысли о суициде чувство вины кошмары беспокойство навязчивые воспоминания о пережитой травме
постфлебитический синдром,расширение вен отеки ног пигментация боли в нижних конечностях трофические язвы голени и стоп тяжесть в ногах утолщение кожи
потница,зуд сыпь раздражение
почечная недостаточность,слабость рвота жажда тошнота сухость во рту неприятный привкус снижение аппетита тремор дрожание полиурия увеличение суточного объема мочи непроизвольные сокращения мышц аммиачный запах изо рта
предлежание плаценты,выделения с кровью
пресбиопия,усталость глаз трудно разглядеть мелкие предметы уменьшение контрастности зрения нарушение чтения
преэклампсия,головная боль рвота повышение артериального давления повышение массы тела тошнота головокружение отеки боль вверху живота
прогрессирующая изолированная афазия,нарушение речи бедность речи разорванность речи и мыслей нарушение восприятия внешнего мира замедленная речь бессвязная речь неестественное растягивание звуков повторение отдельных звуков повторение отдельных слогов повторение отдельных фраз прерывистость речи непонятная речь
проказа лепра,повышенное потоотделение белые пятна на коже красные пятна о выпадение волос носовые кровотечения онемение покалывание в пальцах рук покалывание в пальцах ног охриплость увеличение лимфоузлов сыпь нарушение дыхания сардоническая улыбка спазм мимических мышц
проктит,повышение температуры до 38с запор кал с кровью боль в области заднего прохода кал со слизью боль в прямой кишке слизистогнойные выделения из перианальной области
пролапс митрального клапана,удушье потеря сознания обморок озноб боль в области сердца головокружение повышенная усталость повышение температуры до 38с учащение сердцебиения тахикардия одышка учащенное дыхание боли в левой половине грудной клетки чувство неполного вдоха
простатит,озноб боль во время полового акта боль в тазу боль в паху повышение температуры выше 39с преждевременное семяизвержение задержка семяизвержения частое мочеиспускание слабый ток мочи при мочеиспускании чувство неполного опорожнения мочевого пузыря боль в промежности боль после опорожнения кишечника
простатоцистит,частое мочеиспускание ночью частое мочеиспускание слабый ток мочи при мочеиспускании чувство неполного опорожнения мочевого пузыря боль во время мочеиспускания утрудненное мочеиспускание боли в мочевом пузыре жжение при мочеиспускании
прострел люмбаго,боли в пояснице скованность движений стреляющая боль в спине вынужденное согнутое положение тела
прямокишечный свищ,боль внизу живота боль в тазу боль во время дефекации зуд в области ануса рана в перианальной области боль в прямой кишке слизистогнойные выделения из перианальной области
психогенное переедание,депрессия чувство вины приступообразное переедание
псориаз,шелушение кожи трещины на коже красные пятна о деформация ногтей
птичий коготь онихогрифоз,выпуклость ногтей желтый цвет ногтя желтый цвет ногтя утолщение ногтя утолщение ногтя изгиб ногтя книзу изгиб ногтя книзу
пузырный занос,маточные кровотечения тошнота увеличение матки
пузырчатка новорожденного,повышение температуры до 38с снижение массы тела снижение аппетита пузырчатая болезненная сыпь покраснение
пульпит,зубная боль привоздействии раздражителей острая зубная боль непрерывная зубная боль ночная зубная боль
пупочная грыжа,тошнота боли в области пупка выпячивание в области пупка расширение пупочного кольца
пурпура,головная боль рвота снижение остроты зрения маточные кровотечения тошнота носовые кровотечения кровоточивость десен синяки
радикулит радикулопатия,боль в паху боли в пояснице нарушение чувствительности боли в спине боль в шее боли в грудной клетке боль в стопе боль при повороте туловища боль в затылке боль в голени боли в плече боль в лопатках
разноцветный и отрубевидный лишай,зуд повышенное потоотделение шелушение кожи сыпь красного цвета
рак гортани,сухость во рту боль при глотании першение в горле одышка
рак костей и суставных хрящей,отеки повышенная усталость повышение температуры до 38с снижение массы тела боль в суставах хромота
рак молочной железы,увеличение нагрубание молочной железы боль в молочной железе увеличение лимфоузлов в подмышечной впадине изменение формы молочной железы сморщивание кожи молочной железы шелушение кожи молочной железы выделения из соска припухлость или уплотнение соска втяжение соска опухание плеча
рак поджелудочной железы,снижение массы тела желтушность темный цвет мочи стреляющая боль в спине разлитая боль в животе
рак почки,приступообразный кашель головная боль слабость повышение артериального давления повышение температуры до 38с снижение аппетита желтушность нарушения координации кровь в моче частые переломы боли в почке
рак предстательной железы,непроизвольное мочеиспускание слабость боль в паху снижение аппетита частое мочеиспускание ночью слабый ток мочи при мочеиспускании боль во время мочеиспускания кровь в сперме стреляющая боль в спине кровь в моче
рак шейки матки,бледность кожи слабость маточные кровотечения боль во время полового акта боль в тазу повышенная усталость повышение температуры до 38с снижение массы тела межменструальные кровотечения обильные менструальные кровотечения
рак щитовидной железы,боль в области сердца снижение массы тела светобоязнь охриплость увеличение щитовидной железы
рак яичника,слабость боль внизу живота повышенное потоотделение боли в пояснице запор метеоризм частое мочеиспускание сонливость
рассеянный склероз,снижение остроты зрения депрессия головокружение повышенная усталость мышечная слабость частое мочеиспускание онемение недержание мочи тремор дрожание внезапные позывы к мочеиспусканию нечеткость зрения ухудшение искажение цветового восприятия снижение интеллекта эйфория нарушение тактильной чувствительности покалывание в пальцах рук покалывание в пальцах ног
расслаивание ногтя онихолизис,отслоение ногтя
ревматизм,снижение артериального давления слабость боль в области сердца повышенное потоотделение повышенная усталость повышение температуры до 38с розовые пятна на коже круглой или овальной формы снижение аппетита мышечная слабость нарушение поведения сухой кашель одышка боль в суставах усиленное сердцебиение
ревматическая болезнь сердца,удушье бессонница слабость боль в области сердца боли в грудной клетке сухой кашель одышка ощущение сердцебиения отеки ног учащенное дыхание
ревматическая хорея,мышечная слабость ослабление сухожильных рефлексов непроизвольные движения насильственные подергивания непроизвольное гримасничанье
ревматоидный артрит,повышенная усталость повышение температуры до 38с снижение массы тела сухость во рту снижение аппетита недомогание ломота в теле увеличение лимфоузлов боль в суставах покраснение сустава деформация сустава утренняя скованность в суставах холодный пот мышечная боль
реккурентное депрессивное расстройство,бессонница повышенная усталость снижение аппетита апатия рассеяность внимания мысли о суициде чувство вины саморазрушительное поведение подавленное настроение заниженная самооценка
ректоцеле,боль во время дефекации ложные позывы к дефекации утрудненная дефекация чувство неполного опорожнения кишечника
ретинированные зубы,покраснение десен зубная боль кариес
речь взахлеб,быстрый темп речи быстрая речь непонятная речь
рожа,головная боль слабость озноб тошнота головокружение красные пятна о повышение температуры выше 39с увеличение лимфоузлов боль в лимфоузлах
розацеа,зуд жжение зуд в глазах покраснение глаз угри сосудистые звездочки сыпь сухость лицо багровокрасного цвета сухость глаз покраснение утолщение кожи гнойник и разрастание кожи носа
розовый лишай жибера,зуд розовые пятна на коже круглой или овальной формы шелушение кожи
сальмонеллез,головная боль рвота озноб головокружение боль вверху живота диарея урчание в животе вздутие живота зловонный кал повышение температуры выше 39с ломота в теле стул зеленого цвета
сальпингит,слабость рвота озноб боль внизу живота тошнота выделения из влагалища бели боль во время полового акта повышение температуры до 38с диарея метеоризм выделения из уретры боль в прямой кишке
сальпингоофорит,рвота озноб повышение температуры до 3839с боль внизу живота тошнота повышенное потоотделение боли в пояснице диарея потеря аппетита анорексия недомогание нарушение мочеиспускания
саркоидоз,хрипы в груди бессонница слабость повышенная усталость повышение температуры до 38с снижение массы тела потеря аппетита анорексия боли в грудной клетке недомогание сухой кашель одышка боль в суставах ночное потение
сахарный диабет,зуд снижение остроты зрения повышенная усталость снижение массы тела раздражительность сухость во рту неутолимая жажда мышечная слабость частое мочеиспускание онемение пелена перед глазами плавающие пятна перед глазами повышение уровня глюкозы в крови гипергликемия сухость голод судороги икроножных мышц
сверхкомплектные зубы,количество зубов превышает норму
свинка эпидемический паротит,бессонница головная боль головная боль слабость озноб озноб повышение температуры до 3839с сухость во рту снижение аппетита повышение температуры выше 39с учащение сердцебиения тахикардия ломота в теле боль в суставах мышечная боль болезненность околоушных слюнных желез отечность околоушных слюнных желез боли в области ушей боли в области ушей воспаление подчелюстных желез воспаление подчелюстных желез воспаление подъязычной железы воспаление подъязычной железы
свищ заднего прохода,боль внизу живота боль в тазу зуд в заднем проходе боль во время дефекации зуд в области ануса рана в перианальной области боль в прямой кишке слизистогнойные выделения из перианальной области
себорейный дерматит,шелушение кожи красные пятна о сыпь жирная кожа сальный блеск скопление корочек в волосах
себорея,зуд шелушение кожи выпадение волос перхоть
сердечная недостаточность,хрипы в груди отеки учащение сердцебиения тахикардия сухой кашель одышка набухание шейных вен цианоз подбородка кончика носа и ушей пена изо рта и носа
серная пробка,снижение слуха эхо от самопроизносимых слов
синдром поликистозных яичников,прекращение менструаций не связанное с беременностью боль внизу живота задержка менструаций нерегулярный менструальный цикл депрессия вспыльчивость бесплодие боли в пояснице выпадение волос угри раздражительность апатия повышение уровня глюкозы в крови гипергликемия стрии растяжки центральное ожирение низ живота жирная кожа темные пигментные пятна мелкие складки на коже
синдром преждевременного возбуждения,потеря сознания обморок снижение артериального давления боль в области сердца головокружение одышка ощущение сердцебиения замирание сердца
синдром раздраженного кишечника,рвота тошнота боль вверху живота запор диарея отрыжка горечь во рту боли в области пупка кал со слизью
синдром рейно,бледность кожи жжение
синдром слабости синусового узла,бледность кожи потеря сознания обморок слабость нарушение памяти головокружение повышенная усталость раздражительность боль за грудиной забывчивость снижение интеллекта шум в ушах одышка замедленное сердцебиение брадикардия холодный пот провалы в памяти неритмичное сердцебиение замирание сердца
синдром сухого глаза,слезотечение жжение в глазу песок в глазах сухость глаз рези в глазах
синдром шерешевскоготернера,нарушение памяти депрессия бесплодие скудность мимики и жестикуляции крыловидные складки на шее отвисание нижней губы полуоткрытый рот короткая шея отсутствие менструации атрофия кожи
синовит,слабость повышение температуры до 38с покраснение сустава отек сустава ограничение подвижности сустава
синусит,насморк заложенность носа головная боль повышение температуры до 3839с недомогание боль в пазухах носа
системная красная волчанка,бессонница головная боль слабость повышение температуры до 3839с выпадение волос раздражительность сыпь ломкость ногтей
сифилис,насморк повышение температуры до 38с сухой кашель увеличение лимфоузлов язвы в области гениталий пятнистая сыпь на коже
скарлатина,головная боль рвота озноб шелушение кожи белый налет на языке повышение температуры выше 39с боль при глотании сыпь покраснение горла яркокрасный цвет языка
склерит,покраснение глаз светобоязнь боль в глазах отечность конъюнктивы
склеродермия,отечность боль в области сердца отеки сосудистые звездочки маскообразное лицо покалывание в пальцах рук покалывание в пальцах ног одышка боль в суставах деформация сустава утренняя скованность в суставах мышечная боль пигментация синюшность пальцев истончение кожи дряблость кожи
сколиоз,асимметричность искривление дуги позвоночника ассиметрия ребер сутулость
смещения прикуса,нарушение речи ассиметрия лица нарушение жевания шепелявость
солнечный ожог,покраснение болезненность участка кожи раздражение
сонливость гиперсомния,сонливость
спинальная мышечная атрофия,мышечная слабость искривление дуги позвоночника нарушение дыхания нарушение сосания нарушение глотания атрофия мышц неспособность сидеть без поддержки ослабление мышц ног неспособность ходить
спондилез,боли в спине боль в шее стреляющая боль в спине боль в позвоночнике
спондилолиз,боли в пояснице искривление дуги позвоночника
стеноз клапана легочной артерии,потеря сознания обморок синюшность цианоз слабость головокружение повышенная усталость боли в грудной клетке одышка
стеноз митрального клапана,одышка пепельный цвет кожи цианоз подбородка кончика носа и ушей выраженный румянец щек
стеноз трехстворчатого клапана,слабость распирание желудка отрыжка боль в правом подреберье тяжесть в правом подреберье одышка неритмичное сердцебиение замирание сердца
стенокардия,бледность кожи изжога боль за грудиной боль в шее боли в грудной клетке приступообразная боль в груди боль в левом плече
столбняк,повышение тонуса мышц ригидность повышение температуры выше 39с боль при глотании трудность при глотании сардоническая улыбка спазм мимических мышц тризм спазм мышц рта тонические судороги
стоматит,повышение температуры до 3839с слюнотечение снижение аппетита язвы а белые пятна на слизистой рта отечность ротовой полости увеличение подчелюстных лимфоузлов
стресс,бессонница повышенное потоотделение повышенная усталость раздражительность страх усиленное сердцебиение
сухой синдром шегрена,снижение остроты зрения сухость во рту песок в глазах зуд века гнойные выделения из слезного мешка
сухость кожи ксероз кожи,зуд шелушение кожи трещины на коже сухость покраснение
тендинит,боль в суставах ограничение подвижности сустава
термические и химические ожоги,зуд покраснение волдыри ь
тики,непроизвольные сокращения мышц
тиреоидит,головная боль слабость озноб повышенное потоотделение учащение сердцебиения тахикардия трудность при глотании боль в шее охриплость увеличение шейных лимфоузлов увеличение щитовидной железы сухость одутловатость лица
тиреотоксикоз,слабость запор диарея раздражительность снижение полового влечения либидо тремор дрожание опущение века
тонзиллит,озноб повышение температуры выше 39с боль при глотании неприятный запах изо рта увеличение подчелюстных лимфоузлов боль в горле увеличение околоушных лимфоузлов белый налет на миндалинах
травмы головы,потеря сознания обморок головная боль рвота мышечные спазмы паралич ослабление сухожильных рефлексов потеря памяти
транссексуализм,дисгармония между статью и самоидентификацией желание сменить пол стиль поведения противоречащий физиологическому полу
трахеит,приступообразный кашель повышение температуры до 38с боль за грудиной сухой кашель охриплость першение в горле кашель с мокротой боль в горле
тремор,тремор дрожание
трещина заднего прохода,зуд в заднем проходе кровотечение боль во время дефекации зуд в области ануса
трихинеллез,хрипы в груди зуд отек лица покраснение глаз отечность повышение температуры до 3839с боль внизу живота повышение тонуса мышц ригидность повышение температуры выше 39с сухой кашель отек века увеличение лимфоузлов мышечная боль сыпь
трихомониаз,зуд гениталий боль во время полового акта желтые выделения из влагалища частое мочеиспускание боль во время мочеиспускания моча с кровью кровь в сперме выделения из уретры жжение при мочеиспускании
тромбоз,синюшность цианоз боли в икрах расширение вен
тромбофлебит,повышение температуры до 38с боли в икрах расширение вен отеки ног
туберкулез,бледность кожи хрипы в груди слабость повышенное потоотделение повышенная усталость повышение температуры до 38с снижение массы тела снижение аппетита боли в грудной клетке апатия недомогание кашель с мокротой увеличение лимфоузлов кровохарканье
туляремия,бессонница слабость озноб повышенное потоотделение повышение температуры до 38с снижение аппетита мышечная боль сонливость
увеит,слезотечение покраснение глаз мушки точки перед глазами светобоязнь нечеткость зрения блики вспышки перед глазами боль в глазах искажение зрения радужные круги перед глазами снижение сумеречного зрения отечность конъюнктивы блефароспазм спазм век изменение цвета радужки повышение внутриглазного давления
угревая сыпь,угри камедоны черные точки
умственная отсталость,нарушение памяти апатия нарушение речи заторможенность отставание в развитии
уреаплазмоз,боль внизу живота зуд гениталий боль в паху частое мочеиспускание боль во время мочеиспускания боль во время семяизвержения выделения из уретры боли в бедре жжение при мочеиспускании нарушения эрекции прозрачные выделения из влагалища боль в области заднего прохода
уретрит,частое мочеиспускание боль во время мочеиспускания выделения из уретры жжение при мочеиспускании
фарингит,сухость во рту боль при глотании сухой кашель першение в горле увеличение шейных лимфоузлов
фенилкетонурия,судороги а слабость отставание в развитии
фибрилляция и трепетание желудочков,судороги а потеря сознания обморок синюшность цианоз отсутствие пульса отсутствие дыхания остановка сердца
фиброз печени,слабость повышенная усталость сосудистые звездочки увеличение печени синяки частые инфекции
фимоз,боль во время полового акта сужение кольца крайней плоти
флебит,синюшность цианоз слабость озноб боль внизу живота повышение температуры до 38с боль в паху отеки ног покраснение боли в нижних конечностях
флегмона,озноб отеки повышение температуры выше 39с покраснение болезненность участка кожи
флюороз,пятна на зубной эмали разрушение зубной эмали меловидные пятна на зубах
фобии,бессонница повышенное потоотделение сухость во рту чувство кома в горле страх кошмары холодные и влажные ладони паника
фолиеводефицитная анемия,бледность кожи слабость повышенная усталость белый цвет ногтей ощущение сердцебиения яркокрасный цвет языка
фолликулярная неходжкинская лимфома,бледность кожи слабость повышение температуры до 3839с повышенная усталость снижение массы тела потеря аппетита анорексия увеличение лимфоузлов петехии точечные кровоизлияния ночное потение
фотоконтактный дерматит,сыпь покраснение раздражение
фурункул,покраснение гнойник и
халязион,зуд в глазах отек века зуд века образование уплотнения на веке болезненность века
хейлит,заеды потрескавшиеся губы красная кайма губ сухость губ жжение губ кровоточивость губ
хламидиоз,выделения с кровью боль внизу живота зуд гениталий выделения из влагалища бели боль во время полового акта боль в паху желтые выделения из влагалища частое мочеиспускание боль во время мочеиспускания моча с кровью кровь в сперме боль во время семяизвержения выделения из уретры жжение при мочеиспускании нарушения эрекции межменструальные кровотечения
холангит,снижение артериального давления зуд озноб боль в подложечной области желтушность желтушность склер темный цвет мочи бесцветный кал боль в правом подреберье повышение температуры выше 39с проливной пот
холецистит,рвота озноб повышение температуры до 3839с тошнота запор сухость во рту отрыжка вздутие живота метеоризм желтушность желтушность склер темный цвет мочи бесцветный кал боль в правом подреберье боль в правой половине грудной клетки боль под правой лопаткой боль в правом плече неутолимая жажда горечь во рту учащение сердцебиения тахикардия боль в пояснице боль в боку справа
хорея,бесцельные движения непроизвольные движения
хроническая обструктивная легочная болезнь,боль в области сердца кашель с мокротой одышка синюшность пальцев выпуклость ногтей
хронические бредовые расстройства,бред сохраняющийся не менее 3 месяцев
целиакия,тошнота отеки повышенная усталость снижение массы тела диарея вздутие живота мышечная слабость отставание в росте слабое телосложение повышенная возбудимость
целлюлит,бугристость кожи
цервицит,выделения с кровью боль внизу живота нерегулярный менструальный цикл раздражение в области гениталий выделения из влагалища бели боль во время полового акта боль во время мочеиспускания
цирроз,зуд отеки повышенная усталость снижение массы тела снижение аппетита метеоризм желтушность желтушность склер темный цвет мочи бесцветный кал боль в правом подреберье снижение полового влечения либидо сосудистые звездочки тяжесть в правом подреберье потеря аппетита анорексия носовые кровотечения кровоточивость десен покраснение ладоней пальцы в виде барабанных палочек белый цвет ногтей посинение вен живота
цистит,боль внизу живота повышение температуры до 38с частое мочеиспускание боль во время мочеиспускания мутность мочи жжение при мочеиспускании
чесотка,зуд сыпь расчесы чесоточные ходы на коже гнойные корочки гнойнокровянистые корочки
шизоаффективные расстройства,бессонница депрессия страх рассеяность внимания гиперактивность подозрительность эмоциональная отрешенность мысли о суициде чувство вины возбужденное поведение быстрый темп речи патологическая отвлекаемость саморазрушительное поведение низкая потребность во сне
шизотипическое расстройство,социальная изоляция магическое мышление странная речь подозрительность параноидальные идеи эмоциональная отрешенность нарушение восприятия внешнего мира нарушение восприятия самого себя иллюзии
