comment,classes
головная боль повышение температуры до 38с боль в ухе гнойные выделения из уха шум в ушах снижение слуха,мастоидит
увеличение нагрубание молочной железы боль в молочной железе увеличение лимфоузлов в подмышечной впадине тяжесть в грудных железах выделения из соска уплотнения в груди,мастопатия фибрознокистозная болезнь молочной железы
судороги а потеря сознания обморок бессонница головная боль рвота повышение тонуса мышц ригидность повышение температуры выше 39с галлюцинации светобоязнь звукобоязнь фонофобия бред,менингит
головная боль рвота озноб тошнота повышение температуры выше 39с сыпь,менингококковая инфекция
удушье потеря сознания обморок снижение артериального давления слабость головокружение учащение сердцебиения тахикардия боли в грудной клетке страх одышка неритмичное сердцебиение потемнение в глазах,мерцательная аритмия
мышечная боль боль в мышцах,миалгия
повышенная усталость слюнотечение мышечная слабость нарушение движения гнусавость двоение в глазах нарушение дыхания опущение века нарушение глотания изменение выражения лица нарушение жевания,миастения
головная боль рвота тошнота головокружение раздражительность дезориентация приступообразная головная боль светобоязнь звукобоязнь фонофобия отвращение к запахам,мигрень
бесплодие боль в паху боль во время мочеиспускания утрудненное мочеиспускание боль в яичке выделения из уретры жжение при мочеиспускании выделения слизистогнойного характера,микоплазмоз
головная боль слабость повышенное потоотделение повышение температуры до 38с боли в спине боль в шее боль в мышцах боль в мышцах рук боль в мышцах ног боль в мышцах спины,миозит
снижение артериального давления повышение температуры до 38с учащение сердцебиения тахикардия боль за грудиной боли в грудной клетке одышка замедленное сердцебиение брадикардия неритмичное сердцебиение,миокардит
боль во время полового акта бесплодие боль в тазу частое мочеиспускание чувство неполного опорожнения мочевого пузыря недержание мочи обильные менструальные кровотечения,миома матки
головная боль слабость озноб боль внизу живота нерегулярный менструальный цикл маточные кровотечения повышение температуры до 38с снижение аппетита выделения слизистогнойного характера,миометрит
мышечная слабость искривление дуги позвоночника нарушение дыхания нарушение глотания атрофия мышц неспособность ходить,миопатия
повышенная усталость недомогание одышка ощущение сердцебиения ночная одышка,митральная недостаточность
повышение артериального давления боли в пояснице тяжесть внизу живота боли в промежности,многоводие
зуд гениталий раздражение в области гениталий выделения из влагалища бели боль во время полового акта жжение при мочеиспускании сыпь в области гениталий белый налет,молочница кандидоз
боль внизу живота боль в паху боли в пояснице частое мочеиспускание боль во время мочеиспускания мутность мочи моча с кровью жжение при мочеиспускании,мочекаменная болезнь
невозможность зачатия на протяжении года и более,мужское бесплодие
бессонница рвота запор диарея вздутие живота кашель с мокротой одышка,муковисцидоз
нарушение речи отсутствие спонтанной и ответной речи,мутизм
бессонница мышечная слабость галлюцинации сонливость кошмары внезапный сон спонтанное засыпание сонный паралич,нарколепсия
преждевременное семяизвержение задержка семяизвержения отсутствие семяизвержения,нарушение семяизвержения
зуд в носу насморк чиханье заложенность носа слезотечение ослабление обоняния нюха недомогание,насморк ринит
бессонница головная боль слабость плаксивость вспыльчивость повышенная усталость раздражительность повышенная возбудимость апатия рассеяность внимания,неврастения
мушки точки перед глазами ухудшение искажение цветового восприятия боль в глазах плавающие пятна перед глазами молниеносное снижение остроты зрения усиление симптомов после принятия ванны,неврит зрительного нерва
слезотечение нарушение чувствительности слюнотечение боль в ухе снижение слуха непроизвольные сокращения мышц ассиметрия лица,неврит лицевого нерва
мышечная слабость онемение нарушения координации одеревенение ног зуд в стопе жжение в стопе,невропатия
бледность кожи судороги а потеря сознания обморок слабость повышение массы тела повышенное потоотделение учащение сердцебиения тахикардия онемение нарушение речи дезориентация тремор дрожание страх двоение в глазах голод,недиабетическая гипогликемическая кома
шелушение кожи ухудшение ночного сумеречного зрения сухость ломкость волос сухость глаз поперечная исчерченность ногтей снижение сумеречного зрения,недостаточность витамина а
бессонница рвота тошнота боль вверху живота мышечная слабость онемение забывчивость рассеяность внимания боли в икрах сухость языка зябкость ослабление сухожильных рефлексов,недостаточность витамина в1
шелушение кожи онемение яркокрасный цвет языка сухость языка заеды,недостаточность витамина в2 рибофлавина
синюшность цианоз слабость вздутие живота боль в правом подреберье учащение сердцебиения тахикардия тяжесть в правом подреберье одышка отеки ног,недостаточность клапана легочной артерии
диарея снижение интеллекта сыпь сухость языка,недостаточность никотиновой кислоты пеллагра
синюшность цианоз боль в правом подреберье отеки ног набухание шейных вен пульсация сонных артерий,недостаточность трехстворчатого клапана
слабость отечность боль в области сердца,нейроциркуляторная дистония
непроизвольное мочеиспускание недержание мочи,непроизвольное мочеиспускание
головная боль рвота снижение остроты зрения тошнота неутолимая жажда частое мочеиспускание,несахарный диабет
увеличение щитовидной железы,нетоксический зоб
отставание в росте,низкорослость карликовость
тошнота головокружение нарушения координации,нистагм
бледность кожи жжение онемение перемежающаяся хромота боль при ходьбе боли в икрах покраснение синюшность пальцев кровоизлияния е,облитерирующий тромбангиит
выпадение волос,облысение алопеция
навязчивые мысли обессии навязчивые действия компульсии,обсессивнокомпульсивное расстройство
бессонница головная боль повышение артериального давления повышение массы тела нерегулярный менструальный цикл бесплодие боли в пояснице запор учащение сердцебиения тахикардия одышка боль в суставах нарушения эрекции повышение аппетита повышение уровня глюкозы в крови гипергликемия чрезмерный рост волос на теле гипертрихоз,ожирение
блики вспышки перед глазами молниеносное снижение остроты зрения,окклюзии сосудов сетчатки
боль внизу живота нерегулярный менструальный цикл выделения из влагалища бели боль во время полового акта повышение температуры до 38с боль во время мочеиспускания межменструальные кровотечения,оофорит
зуд тошнота диарея снижение аппетита повышение температуры выше 39с боль в суставах,описторхоз
зуд повышение температуры до 3839с пузырчатая болезненная сыпь,опоясывающий лишай
насморк чиханье головная боль слабость рвота повышение температуры до 38с боль в глазах сухой кашель боль в горле,орви
озноб повышение температуры до 3839с боль в паху боли в пояснице боль в яичке боль в промежности увеличение яичка покраснение мошонки,орхит
потеря сознания обморок синюшность цианоз расширенные зрачки не реагирующие на свет отсутствие пульса отсутствие дыхания,остановка сердца
потеря сознания обморок отечность озноб повышение температуры выше 39с недомогание боль в суставах покраснение,остеомиелит
повышение тонуса мышц ригидность скованность движений искривление дуги позвоночника сутулость боль в позвоночнике уменьшение роста,остеопороз
головная боль боли в пояснице боли в спине боль в шее онемение мышечные спазмы скованность движений шум мушки точки перед глазами цветные пятна перед глазами стреляющая боль в спине,остеохондроз
потеря сознания обморок учащение сердцебиения тахикардия одышка уменьшение объема мочи,острая постгеморрагическая анемия
удушье отек гортани отек лица синюшность языка,отек квинке
потеря сознания обморок головная боль рвота тошнота головокружение дезориентация замедленная речь ступор провалы в памяти,отек мозга
повышение температуры до 38с стреляющая боль в ухе боль в ухе гнойные выделения из уха заложенность уха шум в ушах,отит
бледность кожи синюшность цианоз нарушение чувствительности покраснение,отморожения
гнойные выделения из уха выделения из уха,оторея
слабость рвота тошнота повышенное потоотделение,отравление алкоголем
снижение остроты зрения мушки точки перед глазами блики вспышки перед глазами затуманивание зрения пелена перед глазами плавающие пятна перед глазами,отслойка и разрывы сетчатки
бледность кожи бессонница повышение артериального давления головокружение повышенное потоотделение учащение сердцебиения тахикардия холодные и влажные ладони паника боли в левой половине грудной клетки беспокойство,паническое расстройство эпизодическая пароксизмальная тревожность
потеря сознания обморок зуд рвота тошнота боль вверху живота вздутие живота метеоризм желтушность опоясывающая боль в верхней части живота повышение тонуса мышц ригидность боль в левом подреберье полифекалия увеличение объема каловых масс,панкреатит
паралич,паралич
повышение температуры до 3839с кровоточивость десен кровоточивость десен покраснение десен неприятный запах изо рта выделение гноя изпод десны подвижность зубов подвижность зубов боль у основания зубов выпадение зубов,пародонтит
зуд десен бледность десен обнажение шейки зуба,пародонтоз
потеря сознания обморок слабость тошнота головокружение учащение сердцебиения тахикардия частое мочеиспускание одышка беспокойство,пароксизмальная тахикардия
рвота боль внизу живота тошнота боль в паху запор вздутие живота икота метеоризм боль в мошонке выпячивание опухоль,паховая грыжа
зуд голубые пятна на коже расчесы гниды в волосах,педикулез вши
сыпь красного цвета покраснение покраснение ягодиц мокнущая сыпь,пеленочный дерматит
двоение в глазах боль в челюсти перемена прикуса смещение челюсти в сторону,перелом челюсти
отек лица слабость боль в области сердца икота боли в грудной клетке сухой кашель набухание шейных вен,перикардит
повышение температуры до 3839с покраснение десен зубная боль подвижность зубов зубная боль привоздействии раздражителей острая зубная боль ноющая зубная боль,периодонтит
бессонница слабость снижение аппетита зубная боль увеличение лимфоузлов отечность и разрушение надкостницы,периостит
бледность кожи снижение артериального давления рвота тошнота метеоризм повышение температуры выше 39с учащение сердцебиения тахикардия страх сухость разлитая боль в животе беспокойство сухость губ,перитонит
потеря сознания обморок слабость тошнота отеки снижение массы тела вздутие живота снижение аппетита желтушность желтушность склер носовые кровотечения покраснение ладоней кровяная сыпь на коже геморрагии отвращение к пищи извращение вкуса истощение печеночный запах изо рта,печеночная недостаточность
слабость озноб повышенное потоотделение боли в пояснице повышение температуры выше 39с ломота в теле,пиелонефрит
сыпь,пиодермия
быстрое утомление при ходьбе боль в стопе судороги в стопе отеки в щиколотках,плоскостопие
головная боль слабость озноб повышение температуры выше 39с боли в грудной клетке недомогание ломота в теле сухой кашель першение в горле кашель с мокротой одышка боль в горле,пневмония
бледность кожи синюшность цианоз боли в грудной клетке страх сухой кашель одышка,пневмоторакс
отек сустава белые узелки на суставах багровокрасный цвет сустава приступообразная боль в суставе,подагра
боль в суставах покраснение сустава деформация сустава отек сустава ограничение подвижности сустава,подвывих сустава
боль в суставах деформация сустава отек сустава покраснение,полиартрит
скованность движений боль в суставах деформация сустава,полиартроз
нарушение чувствительности мышечная слабость онемение нарушение движения атрофия мышц одеревенение ног зуд в стопе жжение в стопе,полиневропатия
кал с кровью кровотечение боль в области заднего прохода,полип анального канала
нерегулярный менструальный цикл маточные кровотечения бесплодие выделения мажущие межменструальные кровотечения обильные менструальные кровотечения,полип женских половых органов
кал с кровью кровотечение,полип прямой кишки
бессонница зуд в носу насморк чиханье заложенность носа зуд в глазах слезотечение покраснение глаз головная боль ослабление обоняния нюха слабость,поллиноз сенная лихорадка
тошнота боль в подложечной области метеоризм желтушность желтушность склер боль в правом подреберье потеря аппетита анорексия посинение вен живота черный стул примесь крови рвота с кровью расширение вен брюшной стенки,портальная гипертензия
повышение артериального давления кровяная сыпь на коже геморрагии пузырчатая болезненная сыпь пигментация,порфирия
слабость боль в области сердца повышение температуры до 38с боли в грудной клетке одышка отеки ног,постинфарктный синдром
повышенная возбудимость рассеяность внимания мысли о суициде чувство вины кошмары беспокойство навязчивые воспоминания о пережитой травме,посттравматический стресс
расширение вен отеки ног пигментация боли в нижних конечностях трофические язвы голени и стоп тяжесть в ногах утолщение кожи,постфлебитический синдром
зуд сыпь раздражение,потница
слабость рвота жажда тошнота сухость во рту неприятный привкус снижение аппетита тремор дрожание полиурия увеличение суточного объема мочи непроизвольные сокращения мышц аммиачный запах изо рта,почечная недостаточность
выделения с кровью,предлежание плаценты
усталость глаз трудно разглядеть мелкие предметы уменьшение контрастности зрения нарушение чтения,пресбиопия
головная боль рвота повышение артериального давления повышение массы тела тошнота головокружение отеки боль вверху живота,преэклампсия
нарушение речи бедность речи разорванность речи и мыслей нарушение восприятия внешнего мира замедленная речь бессвязная речь неестественное растягивание звуков повторение отдельных звуков повторение отдельных слогов повторение отдельных фраз прерывистость речи непонятная речь,прогрессирующая изолированная афазия
повышенное потоотделение белые пятна на коже красные пятна о выпадение волос носовые кровотечения онемение покалывание в пальцах рук покалывание в пальцах ног охриплость увеличение лимфоузлов сыпь нарушение дыхания сардоническая улыбка спазм мимических мышц,проказа лепра
повышение температуры до 38с запор кал с кровью боль в области заднего прохода кал со слизью боль в прямой кишке слизистогнойные выделения из перианальной области,проктит
удушье потеря сознания обморок озноб боль в области сердца головокружение повышенная усталость повышение температуры до 38с учащение сердцебиения тахикардия одышка учащенное дыхание боли в левой половине грудной клетки чувство неполного вдоха,пролапс митрального клапана
озноб боль во время полового акта боль в тазу боль в паху повышение температуры выше 39с преждевременное семяизвержение задержка семяизвержения частое мочеиспускание слабый ток мочи при мочеиспускании чувство неполного опорожнения мочевого пузыря боль в промежности боль после опорожнения кишечника,простатит
частое мочеиспускание ночью частое мочеиспускание слабый ток мочи при мочеиспускании чувство неполного опорожнения мочевого пузыря боль во время мочеиспускания утрудненное мочеиспускание боли в мочевом пузыре жжение при мочеиспускании,простатоцистит
боли в пояснице скованность движений стреляющая боль в спине вынужденное согнутое положение тела,прострел люмбаго
боль внизу живота боль в тазу боль во время дефекации зуд в области ануса рана в перианальной области боль в прямой кишке слизистогнойные выделения из перианальной области,прямокишечный свищ
депрессия чувство вины приступообразное переедание,психогенное переедание
шелушение кожи трещины на коже красные пятна о деформация ногтей,псориаз
выпуклость ногтей желтый цвет ногтя желтый цвет ногтя утолщение ногтя утолщение ногтя изгиб ногтя книзу изгиб ногтя книзу,птичий коготь онихогрифоз
маточные кровотечения тошнота увеличение матки,пузырный занос
повышение температуры до 38с снижение массы тела снижение аппетита пузырчатая болезненная сыпь покраснение,пузырчатка новорожденного
зубная боль привоздействии раздражителей острая зубная боль непрерывная зубная боль ночная зубная боль,пульпит
тошнота боли в области пупка выпячивание в области пупка расширение пупочного кольца,пупочная грыжа
головная боль рвота снижение остроты зрения маточные кровотечения тошнота носовые кровотечения кровоточивость десен синяки,пурпура
боль в паху боли в пояснице нарушение чувствительности боли в спине боль в шее боли в грудной клетке боль в стопе боль при повороте туловища боль в затылке боль в голени боли в плече боль в лопатках,радикулит радикулопатия
зуд повышенное потоотделение шелушение кожи сыпь красного цвета,разноцветный и отрубевидный лишай
сухость во рту боль при глотании першение в горле одышка,рак гортани
отеки повышенная усталость повышение температуры до 38с снижение массы тела боль в суставах хромота,рак костей и суставных хрящей
увеличение нагрубание молочной железы боль в молочной железе увеличение лимфоузлов в подмышечной впадине изменение формы молочной железы сморщивание кожи молочной железы шелушение кожи молочной железы выделения из соска припухлость или уплотнение соска втяжение соска опухание плеча,рак молочной железы
снижение массы тела желтушность темный цвет мочи стреляющая боль в спине разлитая боль в животе,рак поджелудочной железы
приступообразный кашель головная боль слабость повышение артериального давления повышение температуры до 38с снижение аппетита желтушность нарушения координации кровь в моче частые переломы боли в почке,рак почки
непроизвольное мочеиспускание слабость боль в паху снижение аппетита частое мочеиспускание ночью слабый ток мочи при мочеиспускании боль во время мочеиспускания кровь в сперме стреляющая боль в спине кровь в моче,рак предстательной железы
бледность кожи слабость маточные кровотечения боль во время полового акта боль в тазу повышенная усталость повышение температуры до 38с снижение массы тела межменструальные кровотечения обильные менструальные кровотечения,рак шейки матки
боль в области сердца снижение массы тела светобоязнь охриплость увеличение щитовидной железы,рак щитовидной железы
слабость боль внизу живота повышенное потоотделение боли в пояснице запор метеоризм частое мочеиспускание сонливость,рак яичника
снижение остроты зрения депрессия головокружение повышенная усталость мышечная слабость частое мочеиспускание онемение недержание мочи тремор дрожание внезапные позывы к мочеиспусканию нечеткость зрения ухудшение искажение цветового восприятия снижение интеллекта эйфория нарушение тактильной чувствительности покалывание в пальцах рук покалывание в пальцах ног,рассеянный склероз
отслоение ногтя,расслаивание ногтя онихолизис
снижение артериального давления слабость боль в области сердца повышенное потоотделение повышенная усталость повышение температуры до 38с розовые пятна на коже круглой или овальной формы снижение аппетита мышечная слабость нарушение поведения сухой кашель одышка боль в суставах усиленное сердцебиение,ревматизм
удушье бессонница слабость боль в области сердца боли в грудной клетке сухой кашель одышка ощущение сердцебиения отеки ног учащенное дыхание,ревматическая болезнь сердца
мышечная слабость ослабление сухожильных рефлексов непроизвольные движения насильственные подергивания непроизвольное гримасничанье,ревматическая хорея
повышенная усталость повышение температуры до 38с снижение массы тела сухость во рту снижение аппетита недомогание ломота в теле увеличение лимфоузлов боль в суставах покраснение сустава деформация сустава утренняя скованность в суставах холодный пот мышечная боль,ревматоидный артрит
бессонница повышенная усталость снижение аппетита апатия рассеяность внимания мысли о суициде чувство вины саморазрушительное поведение подавленное настроение заниженная самооценка,реккурентное депрессивное расстройство
боль во время дефекации ложные позывы к дефекации утрудненная дефекация чувство неполного опорожнения кишечника,ректоцеле
покраснение десен зубная боль кариес,ретинированные зубы
быстрый темп речи быстрая речь непонятная речь,речь взахлеб
головная боль слабость озноб тошнота головокружение красные пятна о повышение температуры выше 39с увеличение лимфоузлов боль в лимфоузлах,рожа
зуд жжение зуд в глазах покраснение глаз угри сосудистые звездочки сыпь сухость лицо багровокрасного цвета сухость глаз покраснение утолщение кожи гнойник и разрастание кожи носа,розацеа
зуд розовые пятна на коже круглой или овальной формы шелушение кожи,розовый лишай жибера
головная боль рвота озноб головокружение боль вверху живота диарея урчание в животе вздутие живота зловонный кал повышение температуры выше 39с ломота в теле стул зеленого цвета,сальмонеллез
слабость рвота озноб боль внизу живота тошнота выделения из влагалища бели боль во время полового акта повышение температуры до 38с диарея метеоризм выделения из уретры боль в прямой кишке,сальпингит
рвота озноб повышение температуры до 3839с боль внизу живота тошнота повышенное потоотделение боли в пояснице диарея потеря аппетита анорексия недомогание нарушение мочеиспускания,сальпингоофорит
хрипы в груди бессонница слабость повышенная усталость повышение температуры до 38с снижение массы тела потеря аппетита анорексия боли в грудной клетке недомогание сухой кашель одышка боль в суставах ночное потение,саркоидоз
зуд снижение остроты зрения повышенная усталость снижение массы тела раздражительность сухость во рту неутолимая жажда мышечная слабость частое мочеиспускание онемение пелена перед глазами плавающие пятна перед глазами повышение уровня глюкозы в крови гипергликемия сухость голод судороги икроножных мышц,сахарный диабет
количество зубов превышает норму,сверхкомплектные зубы
бессонница головная боль головная боль слабость озноб озноб повышение температуры до 3839с сухость во рту снижение аппетита повышение температуры выше 39с учащение сердцебиения тахикардия ломота в теле боль в суставах мышечная боль болезненность околоушных слюнных желез отечность околоушных слюнных желез боли в области ушей боли в области ушей воспаление подчелюстных желез воспаление подчелюстных желез воспаление подъязычной железы воспаление подъязычной железы,свинка эпидемический паротит
боль внизу живота боль в тазу зуд в заднем проходе боль во время дефекации зуд в области ануса рана в перианальной области боль в прямой кишке слизистогнойные выделения из перианальной области,свищ заднего прохода
шелушение кожи красные пятна о сыпь жирная кожа сальный блеск скопление корочек в волосах,себорейный дерматит
зуд шелушение кожи выпадение волос перхоть,себорея
хрипы в груди отеки учащение сердцебиения тахикардия сухой кашель одышка набухание шейных вен цианоз подбородка кончика носа и ушей пена изо рта и носа,сердечная недостаточность
снижение слуха эхо от самопроизносимых слов,серная пробка
прекращение менструаций не связанное с беременностью боль внизу живота задержка менструаций нерегулярный менструальный цикл депрессия вспыльчивость бесплодие боли в пояснице выпадение волос угри раздражительность апатия повышение уровня глюкозы в крови гипергликемия стрии растяжки центральное ожирение низ живота жирная кожа темные пигментные пятна мелкие складки на коже,синдром поликистозных яичников
потеря сознания обморок снижение артериального давления боль в области сердца головокружение одышка ощущение сердцебиения замирание сердца,синдром преждевременного возбуждения
рвота тошнота боль вверху живота запор диарея отрыжка горечь во рту боли в области пупка кал со слизью,синдром раздраженного кишечника
бледность кожи жжение,синдром рейно
бледность кожи потеря сознания обморок слабость нарушение памяти головокружение повышенная усталость раздражительность боль за грудиной забывчивость снижение интеллекта шум в ушах одышка замедленное сердцебиение брадикардия холодный пот провалы в памяти неритмичное сердцебиение замирание сердца,синдром слабости синусового узла
слезотечение жжение в глазу песок в глазах сухость глаз рези в глазах,синдром сухого глаза
нарушение памяти депрессия бесплодие скудность мимики и жестикуляции крыловидные складки на шее отвисание нижней губы полуоткрытый рот короткая шея отсутствие менструации атрофия кожи,синдром шерешевскоготернера
слабость повышение температуры до 38с покраснение сустава отек сустава ограничение подвижности сустава,синовит
насморк заложенность носа головная боль повышение температуры до 3839с недомогание боль в пазухах носа,синусит
бессонница головная боль слабость повышение температуры до 3839с выпадение волос раздражительность сыпь ломкость ногтей,системная красная волчанка
насморк повышение температуры до 38с сухой кашель увеличение лимфоузлов язвы в области гениталий пятнистая сыпь на коже,сифилис
головная боль рвота озноб шелушение кожи белый налет на языке повышение температуры выше 39с боль при глотании сыпь покраснение горла яркокрасный цвет языка,скарлатина
покраснение глаз светобоязнь боль в глазах отечность конъюнктивы,склерит
отечность боль в области сердца отеки сосудистые звездочки маскообразное лицо покалывание в пальцах рук покалывание в пальцах ног одышка боль в суставах деформация сустава утренняя скованность в суставах мышечная боль пигментация синюшность пальцев истончение кожи дряблость кожи,склеродермия
асимметричность искривление дуги позвоночника ассиметрия ребер сутулость,сколиоз
нарушение речи ассиметрия лица нарушение жевания шепелявость,смещения прикуса
покраснение болезненность участка кожи раздражение,солнечный ожог
сонливость,сонливость гиперсомния
мышечная слабость искривление дуги позвоночника нарушение дыхания нарушение сосания нарушение глотания атрофия мышц неспособность сидеть без поддержки ослабление мышц ног неспособность ходить,спинальная мышечная атрофия
боли в спине боль в шее стреляющая боль в спине боль в позвоночнике,спондилез
боли в пояснице искривление дуги позвоночника,спондилолиз
потеря сознания обморок синюшность цианоз слабость головокружение повышенная усталость боли в грудной клетке одышка,стеноз клапана легочной артерии
одышка пепельный цвет кожи цианоз подбородка кончика носа и ушей выраженный румянец щек,стеноз митрального клапана
слабость распирание желудка отрыжка боль в правом подреберье тяжесть в правом подреберье одышка неритмичное сердцебиение замирание сердца,стеноз трехстворчатого клапана
бледность кожи изжога боль за грудиной боль в шее боли в грудной клетке приступообразная боль в груди боль в левом плече,стенокардия
повышение тонуса мышц ригидность повышение температуры выше 39с боль при глотании трудность при глотании сардоническая улыбка спазм мимических мышц тризм спазм мышц рта тонические судороги,столбняк
повышение температуры до 3839с слюнотечение снижение аппетита язвы а белые пятна на слизистой рта отечность ротовой полости увеличение подчелюстных лимфоузлов,стоматит
бессонница повышенное потоотделение повышенная усталость раздражительность страх усиленное сердцебиение,стресс
снижение остроты зрения сухость во рту песок в глазах зуд века гнойные выделения из слезного мешка,сухой синдром шегрена
зуд шелушение кожи трещины на коже сухость покраснение,сухость кожи ксероз кожи
боль в суставах ограничение подвижности сустава,тендинит
зуд покраснение волдыри ь,термические и химические ожоги
непроизвольные сокращения мышц,тики
головная боль слабость озноб повышенное потоотделение учащение сердцебиения тахикардия трудность при глотании боль в шее охриплость увеличение шейных лимфоузлов увеличение щитовидной железы сухость одутловатость лица,тиреоидит
слабость запор диарея раздражительность снижение полового влечения либидо тремор дрожание опущение века,тиреотоксикоз
озноб повышение температуры выше 39с боль при глотании неприятный запах изо рта увеличение подчелюстных лимфоузлов боль в горле увеличение околоушных лимфоузлов белый налет на миндалинах,тонзиллит
потеря сознания обморок головная боль рвота мышечные спазмы паралич ослабление сухожильных рефлексов потеря памяти,травмы головы
дисгармония между статью и самоидентификацией желание сменить пол стиль поведения противоречащий физиологическому полу,транссексуализм
приступообразный кашель повышение температуры до 38с боль за грудиной сухой кашель охриплость першение в горле кашель с мокротой боль в горле,трахеит
тремор дрожание,тремор
зуд в заднем проходе кровотечение боль во время дефекации зуд в области ануса,трещина заднего прохода
хрипы в груди зуд отек лица покраснение глаз отечность повышение температуры до 3839с боль внизу живота повышение тонуса мышц ригидность повышение температуры выше 39с сухой кашель отек века увеличение лимфоузлов мышечная боль сыпь,трихинеллез
зуд гениталий боль во время полового акта желтые выделения из влагалища частое мочеиспускание боль во время мочеиспускания моча с кровью кровь в сперме выделения из уретры жжение при мочеиспускании,трихомониаз
синюшность цианоз боли в икрах расширение вен,тромбоз
повышение температуры до 38с боли в икрах расширение вен отеки ног,тромбофлебит
бледность кожи хрипы в груди слабость повышенное потоотделение повышенная усталость повышение температуры до 38с снижение массы тела снижение аппетита боли в грудной клетке апатия недомогание кашель с мокротой увеличение лимфоузлов кровохарканье,туберкулез
бессонница слабость озноб повышенное потоотделение повышение температуры до 38с снижение аппетита мышечная боль сонливость,туляремия
слезотечение покраснение глаз мушки точки перед глазами светобоязнь нечеткость зрения блики вспышки перед глазами боль в глазах искажение зрения радужные круги перед глазами снижение сумеречного зрения отечность конъюнктивы блефароспазм спазм век изменение цвета радужки повышение внутриглазного давления,увеит
угри камедоны черные точки,угревая сыпь
нарушение памяти апатия нарушение речи заторможенность отставание в развитии,умственная отсталость
боль внизу живота зуд гениталий боль в паху частое мочеиспускание боль во время мочеиспускания боль во время семяизвержения выделения из уретры боли в бедре жжение при мочеиспускании нарушения эрекции прозрачные выделения из влагалища боль в области заднего прохода,уреаплазмоз
частое мочеиспускание боль во время мочеиспускания выделения из уретры жжение при мочеиспускании,уретрит
сухость во рту боль при глотании сухой кашель першение в горле увеличение шейных лимфоузлов,фарингит
судороги а слабость отставание в развитии,фенилкетонурия
судороги а потеря сознания обморок синюшность цианоз отсутствие пульса отсутствие дыхания остановка сердца,фибрилляция и трепетание желудочков
слабость повышенная усталость сосудистые звездочки увеличение печени синяки частые инфекции,фиброз печени
боль во время полового акта сужение кольца крайней плоти,фимоз
синюшность цианоз слабость озноб боль внизу живота повышение температуры до 38с боль в паху отеки ног покраснение боли в нижних конечностях,флебит
озноб отеки повышение температуры выше 39с покраснение болезненность участка кожи,флегмона
пятна на зубной эмали разрушение зубной эмали меловидные пятна на зубах,флюороз
бессонница повышенное потоотделение сухость во рту чувство кома в горле страх кошмары холодные и влажные ладони паника,фобии
бледность кожи слабость повышенная усталость белый цвет ногтей ощущение сердцебиения яркокрасный цвет языка,фолиеводефицитная анемия
бледность кожи слабость повышение температуры до 3839с повышенная усталость снижение массы тела потеря аппетита анорексия увеличение лимфоузлов петехии точечные кровоизлияния ночное потение,фолликулярная неходжкинская лимфома
сыпь покраснение раздражение,фотоконтактный дерматит
покраснение гнойник и,фурункул
зуд в глазах отек века зуд века образование уплотнения на веке болезненность века,халязион
заеды потрескавшиеся губы красная кайма губ сухость губ жжение губ кровоточивость губ,хейлит
выделения с кровью боль внизу живота зуд гениталий выделения из влагалища бели боль во время полового акта боль в паху желтые выделения из влагалища частое мочеиспускание боль во время мочеиспускания моча с кровью кровь в сперме боль во время семяизвержения выделения из уретры жжение при мочеиспускании нарушения эрекции межменструальные кровотечения,хламидиоз
снижение артериального давления зуд озноб боль в подложечной области желтушность желтушность склер темный цвет мочи бесцветный кал боль в правом подреберье повышение температуры выше 39с проливной пот,холангит
рвота озноб повышение температуры до 3839с тошнота запор сухость во рту отрыжка вздутие живота метеоризм желтушность желтушность склер темный цвет мочи бесцветный кал боль в правом подреберье боль в правой половине грудной клетки боль под правой лопаткой боль в правом плече неутолимая жажда горечь во рту учащение сердцебиения тахикардия боль в пояснице боль в боку справа,холецистит
бесцельные движения непроизвольные движения,хорея
боль в области сердца кашель с мокротой одышка синюшность пальцев выпуклость ногтей,хроническая обструктивная легочная болезнь
бред сохраняющийся не менее 3 месяцев,хронические бредовые расстройства
тошнота отеки повышенная усталость снижение массы тела диарея вздутие живота мышечная слабость отставание в росте слабое телосложение повышенная возбудимость,целиакия
бугристость кожи,целлюлит
выделения с кровью боль внизу живота нерегулярный менструальный цикл раздражение в области гениталий выделения из влагалища бели боль во время полового акта боль во время мочеиспускания,цервицит
зуд отеки повышенная усталость снижение массы тела снижение аппетита метеоризм желтушность желтушность склер темный цвет мочи бесцветный кал боль в правом подреберье снижение полового влечения либидо сосудистые звездочки тяжесть в правом подреберье потеря аппетита анорексия носовые кровотечения кровоточивость десен покраснение ладоней пальцы в виде барабанных палочек белый цвет ногтей посинение вен живота,цирроз
боль внизу живота повышение температуры до 38с частое мочеиспускание боль во время мочеиспускания мутность мочи жжение при мочеиспускании,цистит
зуд сыпь расчесы чесоточные ходы на коже гнойные корочки гнойнокровянистые корочки,чесотка
бессонница депрессия страх рассеяность внимания гиперактивность подозрительность эмоциональная отрешенность мысли о суициде чувство вины возбужденное поведение быстрый темп речи патологическая отвлекаемость саморазрушительное поведение низкая потребность во сне,шизоаффективные расстройства
социальная изоляция магическое мышление странная речь подозрительность параноидальные идеи эмоциональная отрешенность нарушение восприятия внешнего мира нарушение восприятия самого себя иллюзии,шизотипическое расстройство
